Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.18115234 +3.22998047 -7.34765625 -172.96875000 +33.90380859 -128.62792969 +1554150042.83130002 +636
+14.17675781 +3.22998047 -7.34765625 -172.96875000 +33.90380859 -128.69384766 +1554150042.83540010 +636
+14.17236328 +3.22558594 -7.34765625 -172.99072266 +33.88183594 -128.78173828 +1554150042.83960009 +632
+14.16357422 +3.22558594 -7.34765625 -173.03466797 +33.85986328 -128.93554688 +1554150042.84789991 +632
+14.15917969 +3.22558594 -7.34765625 -173.03466797 +33.85986328 -129.02343750 +1554150042.85209990 +632
+14.15917969 +3.22558594 -7.34326172 -173.05664063 +33.85986328 -129.06738281 +1554150042.85630012 +632
+14.15039063 +3.22998047 -7.33886719 -173.07861328 +33.88183594 -129.17724609 +1554150042.86459994 +628
+14.15039063 +3.22998047 -7.33886719 -173.10058594 +33.90380859 -129.24316406 +1554150042.86879992 +628
+14.14599609 +3.23437500 -7.33447266 -173.10058594 +33.92578125 -129.30908203 +1554150042.87709999 +628
+14.14160156 +3.23876953 -7.33007813 -173.10058594 +33.94775391 -129.33105469 +1554150042.88129997 +628
+14.13720703 +3.24316406 -7.32568359 -173.10058594 +33.99169922 -129.37500000 +1554150042.88960004 +628
+14.13720703 +3.24755859 -7.32128906 -173.10058594 +34.01367188 -129.39697266 +1554150042.89380002 +628
+14.13281250 +3.25634766 -7.31689453 -173.10058594 +34.05761719 -129.41894531 +1554150042.90210009 +628
+14.12841797 +3.25634766 -7.31250000 -173.10058594 +34.07958984 -129.41894531 +1554150042.90619993 +628
+14.12841797 +3.26074219 -7.31250000 -173.10058594 +34.07958984 -129.44091797 +1554150042.91039991 +628
+14.11962891 +3.26953125 -7.30810547 -173.12255859 +34.12353516 -129.46289063 +1554150042.91869998 +628
+14.11962891 +3.26953125 -7.30371094 -173.12255859 +34.14550781 -129.46289063 +1554150042.92289996 +628
+14.11523438 +3.27832031 -7.29931641 -173.14453125 +34.18945313 -129.50683594 +1554150042.93120003 +628
+14.11083984 +3.28271484 -7.29492188 -173.14453125 +34.21142578 -129.52880859 +1554150042.93540001 +628
+14.10205078 +3.29150391 -7.29052734 -173.16650391 +34.25537109 -129.57275391 +1554150042.94370008 +628
+14.09765625 +3.29589844 -7.29052734 -173.16650391 +34.27734375 -129.59472656 +1554150042.94790006 +628
+14.09326172 +3.30468750 -7.28613281 -173.18847656 +34.29931641 -129.63867188 +1554150042.95619988 +628
+14.08886719 +3.30908203 -7.28613281 -173.21044922 +34.32128906 -129.66064453 +1554150042.96040010 +628
+14.08447266 +3.32226563 -7.28173828 -173.21044922 +34.34326172 -129.70458984 +1554150042.96869993 +628
+14.08007813 +3.32666016 -7.28173828 -173.21044922 +34.34326172 -129.72656250 +1554150042.97289991 +628
+14.07568359 +3.33544922 -7.28173828 -173.21044922 +34.36523438 -129.74853516 +1554150042.97709990 +628
+14.07568359 +3.33984375 -7.28173828 -173.21044922 +34.36523438 -129.77050781 +1554150042.98119998 +624
+14.07128906 +3.34423828 -7.28173828 -173.21044922 +34.36523438 -129.79248047 +1554150042.98539996 +624
+14.06689453 +3.35302734 -7.27734375 -173.21044922 +34.38720703 -129.79248047 +1554150042.98950005 +624
+14.06689453 +3.35742188 -7.27734375 -173.21044922 +34.40917969 -129.81445313 +1554150042.99370003 +624
+14.06250000 +3.36181641 -7.27734375 -173.21044922 +34.40917969 -129.81445313 +1554150042.99790001 +620
+14.06250000 +3.36621094 -7.27734375 -173.21044922 +34.43115234 -129.83642578 +1554150043.00200009 +620
+14.05810547 +3.37060547 -7.27294922 -173.21044922 +34.43115234 -129.83642578 +1554150043.00620008 +620
+14.05371094 +3.38378906 -7.26855469 -173.21044922 +34.47509766 -129.85839844 +1554150043.01449990 +616
