Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+11.83447266 -3.07617188 -8.96484375 +95.77880859 +36.05712891 -150.77636719 +1554150183.87800002 +832
+11.86523438 -3.01904297 -8.90332031 +96.04248047 +36.76025391 -149.80957031 +1554150183.88220000 +840
+11.87841797 -2.97949219 -8.85937500 +96.37207031 +37.52929688 -148.55712891 +1554150183.88630009 +832
+11.90478516 -2.91796875 -8.82421875 +96.83349609 +38.21044922 -147.28271484 +1554150183.89050007 +832
+11.94433594 -2.85205078 -8.76269531 +97.22900391 +38.97949219 -146.27197266 +1554150183.89470005 +840
+11.96630859 -2.79931641 -8.71875000 +97.69042969 +39.74853516 -144.97558594 +1554150183.89879990 +836
+11.99707031 -2.72900391 -8.67919922 +98.26171875 +40.47363281 -143.67919922 +1554150183.90300012 +836
+12.04541016 -2.65869141 -8.61328125 +98.83300781 +41.26464844 -142.62451172 +1554150183.90720010 +844
+12.07177734 -2.59716797 -8.57373047 +99.49218750 +42.03369141 -141.28417969 +1554150183.91129994 +840
+12.10693359 -2.53125000 -8.53417969 +100.21728516 +42.82470703 -139.92187500 +1554150183.91549993 +840
+12.16406250 -2.46093750 -8.47705078 +100.98632813 +43.70361328 -138.80126953 +1554150183.91969991 +844
+12.20361328 -2.37744141 -8.41992188 +101.82128906 +44.42871094 -137.76855469 +1554150183.92379999 +848
+12.24755859 -2.31591797 -8.36279297 +102.56835938 +45.21972656 -136.73583984 +1554150183.92799997 +856
+12.31347656 -2.24560547 -8.30566406 +103.46923828 +46.12060547 -135.85693359 +1554150183.93219995 +864
+12.35742188 -2.15332031 -8.24414063 +104.45800781 +46.77978516 -135.15380859 +1554150183.93630004 +880
+12.40136719 -2.10937500 -8.18701172 +105.24902344 +47.59277344 -134.38476563 +1554150183.94050002 +888
+12.46728516 -2.05224609 -8.14306641 +106.30371094 +48.51562500 -133.70361328 +1554150183.94470000 +896
+12.51562500 -1.94677734 -8.08593750 +107.42431641 +49.10888672 -133.46191406 +1554150183.94880009 +912
+12.55957031 -1.89843750 -8.02880859 +108.30322266 +49.85595703 -133.19824219 +1554150183.95300007 +928
+12.62988281 -1.83691406 -7.97607422 +109.35791016 +50.69091797 -133.04443359 +1554150183.95709991 +940
+12.67822266 -1.72705078 -7.91015625 +110.45654297 +51.21826172 -133.35205078 +1554150183.96129990 +968
+12.73095703 -1.68310547 -7.84863281 +111.29150391 +51.89941406 -133.61572266 +1554150183.96550012 +988
